"","r","MN","generator","duration","size","perc_minimal","avg_card"
"173",15,35,"Opts 1-2",26316197.73,41133.59,1,11.3253302948771
"174",15,35,"Opts 1-3",2880378.05,41133.59,1,11.3253302948771
"175",25,35,"Opts 1-2",18582428.93,105471.34,1,8.50157623278583
"176",25,35,"Opts 1-3",14467206.24,105471.34,1,8.50157623278583
"177",35,35,"Opts 1-2",9508106.98,73601.87,1,6.74221554054947
"178",35,35,"Opts 1-3",8742100.27,73601.87,1,6.74221554054947
"179",45,35,"Opts 1-2",2374236.31,33845.66,1,5.51283592201842
"180",45,35,"Opts 1-3",2243990.47,33845.66,1,5.51283592201842
"181",55,35,"Opts 1-2",594673.72,15142.55,1,4.60455839435994
"182",55,35,"Opts 1-3",575767.56,15142.55,1,4.60455839435994
"183",65,35,"Opts 1-2",195284.3,6252.55,1,3.85631744371462
"184",65,35,"Opts 1-3",193645.71,6252.55,1,3.85631744371462
"185",75,35,"Opts 1-2",51226.13,2660.32,1,3.17418664425597
"186",75,35,"Opts 1-3",50587.95,2660.32,1,3.17418664425597
"187",85,35,"Opts 1-2",8800.08,934.33,1,2.70669968985598
"188",85,35,"Opts 1-3",9005.16,934.33,1,2.70669968985598
"189",95,35,"Opts 1-2",1357.63,370.55,1,1.99138121009694
"190",95,35,"Opts 1-3",1361.36,370.55,1,1.99138121009694
"191",5,40,"Opts 1-2",561428410.71,379.45,1,18.7968453497834
"192",5,40,"Opts 1-3",16307.56,379.45,1,18.7968453497834
"193",15,40,"Opts 1-2",291439254.7,291735.09,1,12.1863055883995
"194",15,40,"Opts 1-3",84931842.43,291735.09,1,12.1863055883995
"195",25,40,"Opts 1-2",398372406.36,570713.52,1,9.0357114244999
"196",25,40,"Opts 1-3",370729034.41,570713.52,1,9.0357114244999
"197",35,40,"Opts 1-2",124944039.55,269724.26,1,7.0653031293223
"198",35,40,"Opts 1-3",122768414.92,269724.26,1,7.0653031293223
"199",45,40,"Opts 1-2",22391699.95,101538.46,1,5.77095623305023
"200",45,40,"Opts 1-3",21127679.46,101538.46,1,5.77095623305023
"201",55,40,"Opts 1-2",3219011.86,36848.53,1,4.78622060316038
"202",55,40,"Opts 1-3",3051371.05,36848.53,1,4.78622060316038
"203",65,40,"Opts 1-2",497698.59,13795.08,1,4.00641053135844
"204",65,40,"Opts 1-3",488326.77,13795.08,1,4.00641053135844
"205",75,40,"Opts 1-2",150683.13,4812.74,1,3.28715915340225
"206",75,40,"Opts 1-3",147882.59,4812.74,1,3.28715915340225
"207",85,40,"Opts 1-2",21510.36,1623.51,1,2.80591749059487
"208",85,40,"Opts 1-3",21806.13,1623.51,1,2.80591749059487
"209",95,40,"Opts 1-2",2288.13,536.4,1,2.00274807713458
"210",95,40,"Opts 1-3",2455.71,536.4,1,2.00274807713458
