"","name","par_strategy","nproc","time","generator","r","id","avg_card","date","duration","iteration","perc_minimal","size","size_minimal","mhspersec","totaltime"
"89","mhs","Random",2,4e+06,"mhs_random_2_4000000",50,2187888675.26,7.0159696675,11968,4.56170922,50.5,0.99060541213,136624.1,135405.779937609,14975.0996184715,9.12341844
"90","mhs","Random",2,8e+06,"mhs_random_2_8000000",50,2096299339.91,7.0509402749,11969,8.52100443,50.5,0.98011811615,141429.11,138784.609872365,8298.85204038088,17.04200886
"91","mhs","Random",3,1e+06,"mhs_random_3_1000000",50,2082306061.7,6.9990859937,11971,1.32490214,50.5,0.99559388698,94194.17,93780.6399208569,23698.3968239848,3.97470642
"92","mhs","Random",3,1.6e+07,"mhs_random_3_16000000",50,1902930984.62,7.1232817747,11975,16.84651291,50.5,0.9585644001,218881.63,210042.739999312,4330.89884672954,50.53953873
"93","mhs","Random",3,2e+06,"mhs_random_3_2000000",50,2428874759.3,7.0033556798,11972,2.72042224,50.5,0.99432990247,188502.58,187448.520343925,23097.2208686742,8.16126672
"94","mhs","Random",3,4e+06,"mhs_random_3_4000000",50,1995688824.36,7.0189777619,11973,4.71992354,50.5,0.98981795249,195652.83,193760.110277842,13817.5140862557,14.15977062
"95","mhs","Random",3,8e+06,"mhs_random_3_8000000",50,2301795991.89,7.0505462027,11974,8.74749943,50.5,0.98026140634,201833.99,198080.13980819,7691.11186631614,26.24249829
"96","mhs","Random",4,1e+06,"mhs_random_4_1000000",50,2194743498.79,6.9992152644,11976,1.3942738,50.5,0.99589291693,122659.47,122152.879931431,21993.433068885,5.5770952
"97","mhs","Random",4,1.6e+07,"mhs_random_4_16000000",50,2128571097.9,7.1169283105,11980,17.10054969,50.5,0.96060322282,280952.82,270239.960215106,4107.3653346403,68.40219876
"98","mhs","Random",4,2e+06,"mhs_random_4_2000000",50,1945061609.48,7.0039805458,11977,2.92393352,50.5,0.99461722436,244194.11,242904.82951408,20878.9040798711,11.69573408
"99","mhs","Random",4,4e+06,"mhs_random_4_4000000",50,2110538146.92,7.0170762441,11978,4.95022731,50.5,0.99090253356,252227.46,250023.400179868,12738.1756535944,19.80090924
"100","mhs","Random",4,8e+06,"mhs_random_4_8000000",50,1965569796.74,7.0497411823,11979,8.98032175,50.5,0.98116124096,260700.18,256027.179800751,7257.54007644548,35.921287
"101","mhs","Random",5,1e+06,"mhs_random_5_1000000",50,2049417701.91,6.9991008094,11981,1.51737596,50.5,0.99587689341,147793.67,147184.190272211,19480.1649552956,7.5868798
"102","mhs","Random",5,1.6e+07,"mhs_random_5_16000000",50,2452648299.63,7.1097849324,11985,17.29860141,50.5,0.96255422228,348825.02,336136.690499241,4032.98523079849,86.49300705
"103","mhs","Random",5,2e+06,"mhs_random_5_2000000",50,2023662289.32,7.0038645171,11982,3.08016425,50.5,0.99462003056,305035.52,303437.589508084,19806.4450621424,15.40082125
