"","id","avg_card","date","duration","generator","iteration","perc_minimal","size","r","size_minimal"
"183",455998390,9.51603985," 2014-Jun-04 00:08:46",72.864003,"mhs_random_7",12,1,896978,25,896978
"184",460623403,8.86229515," 2014-Jun-04 21:54:05",38.464892,"mhs_random_5",74,1,544772,25,544772
"185",461593548,8.48554707," 2014-Jun-04 01:24:56",48.828212,"mhs_random_3",17,1,509815,25,509815
"186",463224532,9.11711407," 2014-Jun-04 15:07:22",97.472639,"mhs_stride_2",56,1,660263,25,660263
"187",463627113,9.45475578," 2014-Jun-03 22:44:35",123.470313,"mhs_random_3",8,1,843992,25,843992
"188",464217690,8.93784618," 2014-Jun-04 23:49:02",77.452018,"mhs_random_2",79,1,491268,25,491268
"189",470531012,8.56705379," 2014-Jun-04 12:17:24",27.490398,"mhs_stride_6",46,1,435659,25,435659
"190",474304925,9.11466789," 2014-Jun-05 04:11:15",43.381419,"mhs_stride_3",92,1,538519,25,538519
"191",481617289,9.04508018," 2014-Jun-05 01:40:11",35.204714,"mhs_random_8",85,1,731614,25,731614
"192",483874781,8.79912758," 2014-Jun-04 14:34:11",14.08645,"mhs_random_7",54,1,401166,25,401166
"193",490903832,8.66373158," 2014-Jun-04 03:57:02",25.866369,"mhs_random_6",24,1,507907,25,507907
"194",507013893,8.53958035," 2014-Jun-04 10:36:28",15.097717,"mhs_random_6",43,1,385268,25,385268
"195",507093323,8.66373158," 2014-Jun-04 03:57:33",23.234852,"mhs_random_7",24,1,507907,25,507907
"196",507771165,8.54617405," 2014-Jun-04 07:44:21",62.513933,"mhs_random_4",34,1,742377,25,742377
"197",508117661,9.14146233," 2014-Jun-04 03:13:31",106.26914,"mhs_stride_1",22,1,446754,25,446754
"198",508164205,8.96326065," 2014-Jun-05 05:10:56",87.205308,"mhs_stride_3",95,1,687582,25,687582
"199",509175972,8.78033924," 2014-Jun-03 20:49:04",230.576288,"mhs_random_1",2,1,608283,25,608283
"200",511527028,9.94060421," 2014-Jun-04 08:20:43",14.828164,"mhs_random_8",36,1,337059,25,337059
"201",519409260,9.06096363," 2014-Jun-04 18:48:11",60.321698,"mhs_stride_3",67,1,632622,25,632622
"202",522498472,8.61904144," 2014-Jun-03 21:27:49",197.706106,"mhs_random_1",4,1,629903,25,629903
"203",523783719,8.74178219," 2014-Jun-05 03:07:42",58.51574,"mhs_random_7",89,1,799404,25,799404
"204",524624673,8.79619884," 2014-Jun-04 06:38:52",34.926585,"mhs_random_7",32,1,762661,25,762661
"205",528001895,9.17742825," 2014-Jun-04 17:25:48",40.883857,"mhs_random_7",64,1,774274,25,774274
"206",531716310,8.85536957," 2014-Jun-05 04:26:59",63.101853,"mhs_stride_3",93,1,499051,25,499051
"207",535539457,9.44048119," 2014-Jun-04 13:11:36",12.672469,"mhs_stride_8",50,1,262590,25,262590
"208",538189573,8.67734051," 2014-Jun-05 04:34:16",214.816104,"mhs_random_1",94,1,605983,25,605983
"209",539721767,8.72023678," 2014-Jun-04 15:19:30",31.214899,"mhs_random_4",57,1,479866,25,479866
"210",542998384,9.55056858," 2014-Jun-04 10:55:02",698.192651,"mhs_random_1",44,1,1093233,25,1093233
"211",545951718,9.03636074," 2014-Jun-04 05:49:41",52.381432,"mhs_random_6",30,1,693887,25,693887
"212",546472542,9.2542572," 2014-Jun-04 04:32:55",143.048359,"mhs_stride_1",26,1,505889,25,505889
"213",550104366,8.6921711," 2014-Jun-04 05:11:33",34.965516,"mhs_random_4",28,1,685972,25,685972
"214",554836513,8.96326065," 2014-Jun-05 05:15:05",39.623294,"mhs_stride_7",95,1,687582,25,687582
"215",555119979,9.09310913," 2014-Jun-04 03:05:47",37.927777,"mhs_stride_8",21,1,634590,25,634590
