"","avg_card","date","duration","generator","iteration","perc_minimal","size","r"
"158",43,"2014-May-25 22:38:32",30001344,"Opt 1",33,1,35,5
"159",43.8336609794946,"2014-May-25 22:35:59",30004831,"Opts 1-3",31,0.995279025384207,69689,5
"160",599.594594594595,"2014-May-25 22:38:50",30000671,"Baseline",33,0,37,5
"161",43,"2014-May-25 22:39:12",30000873,"Heuristic",34,1,34,5
"162",43.8357259264508,"2014-May-25 22:36:47",30008857,"Opts 1-2",31,0.994884149365833,70565,5
"163",43,"2014-May-25 22:39:42",30001502,"Opt 1",34,1,34,5
"164",474.4,"2014-May-25 22:40:02",30001304,"Baseline",34,0,35,5
"165",43.9938762806817,"2014-May-25 22:38:03",30005360,"Opts 1-3",33,0.992429467875709,59441,5
"166",43.9977696055654,"2014-May-25 22:37:39",30007912,"Opts 1-3",32,0.995393173399891,75323,5
"167",43.9090909090909,"2014-May-25 22:40:33",30000952,"Heuristic",35,1,33,5
"168",43.9977807133421,"2014-May-25 22:37:54",30004243,"Opts 1-2",32,0.995376486129458,75700,5
"169",43.994173855979,"2014-May-25 22:38:26",30006831,"Opts 1-2",33,0.99258927285241,62477,5
"170",43.9090909090909,"2014-May-25 22:40:55",30005062,"Opt 1",35,1,33,5
"171",497.555555555556,"2014-May-25 22:41:03",30001198,"Baseline",35,0,45,5
"172",43,"2014-May-25 22:41:11",30000683,"Heuristic",36,1,38,5
"173",43.9989786876136,"2014-May-25 22:39:02",30004761,"Opts 1-3",34,0.975488502726003,66581,5
"174",43,"2014-May-25 22:41:33",30001114,"Opt 1",36,1,38,5
"175",461.826086956522,"2014-May-25 22:41:41",30000573,"Baseline",36,0,46,5
"176",43.9989606419564,"2014-May-25 22:39:20",30008711,"Opts 1-2",34,0.975238823079862,65425,5
"177",42,"2014-May-25 22:42:03",30004360,"Heuristic",37,1,39,5
"178",42,"2014-May-25 22:42:16",30001657,"Opt 1",37,1,39,5
"179",604.642857142857,"2014-May-25 22:42:33",30000624,"Baseline",37,0,42,5
"180",44.715186981583,"2014-May-25 22:40:13",30007668,"Opts 1-3",35,0.98655630535639,56904,5
"181",42,"2014-May-25 22:43:03",30000717,"Heuristic",38,1,46,5
